Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2020-05-05,1782.45849609375,1823.2675963147556,1777.1556186639018,1803.0705275880675,2905528
2020-05-06,1755.5753173828125,1801.7794998098902,1746.3529211866662,1788.9604591597097,3517431
2020-05-07,1744.5545654296875,1784.0263528437076,1736.899931702775,1761.4776396087425,3166754
2020-05-08,1746.1685791015625,1788.683804530708,1739.5745430760753,1788.3148861543993,2686530
2020-05-11,1784.8099365234375,1799.657968187037,1760.5549955348745,1760.5549955348745,2449841
2020-05-12,1797.90576171875,1804.3614377033773,1761.7078642335173,1783.0577294697177,3256595
2020-05-13,1798.0443115234375,1838.9456119209094,1775.91056293462,1838.9456119209094,2656665
2020-05-14,1754.4224853515625,1773.558957103997,1744.0472898231342,1761.477640826509,2263146
2020-05-15,1745.707275390625,1768.3021444779713,1720.1611721817626,1767.0109865859374,3173682
2020-05-18,1794.30908203125,1801.0875195888389,1726.524481299242,1758.7106611692361,3727694
2020-05-19,1797.1221923828125,1813.5379894723244,1755.0219327520474,1755.0219327520474,3198693
2020-05-20,1801.6871337890625,1810.2640064992588,1781.4900654487803,1798.3670939773335,2778505
2020-05-21,1836.3634033203125,1842.6346774841204,1790.2053799722216,1794.6782194114608,3400908
2020-05-22,1863.24658203125,1873.9906948990154,1808.7422491981763,1823.3597229985814,3663418
2020-05-26,1791.9117431640625,1866.6131591168619,1775.3114285078848,1858.313001788773,4575317
2020-05-27,1849.3671875,1853.7016687589005,1790.2976937702565,1806.6674473127791,3482160
2020-05-28,1848.444580078125,1857.3902577380932,1818.0106781390202,1833.8731516942394,3475681
2020-05-29,1818.9791259765625,1846.9230289434063,1809.802887626292,1827.8787600129253,7237735
2020-06-01,1886.210205078125,1899.813236749022,1827.0485227870527,1835.256476276968,3747773
2020-06-02,1887.962646484375,1919.1804315653435,1881.4147684405868,1899.997804613618,2443886
2020-06-03,1892.587646484375,1908.8667540644315,1868.4001663041317,1897.8599325208347,3699799
2020-06-04,1934.580322265625,1942.3961090646899,1893.142493441978,1893.142493441978,4048593
2020-06-05,1894.5299072265625,1940.5461957091802,1887.176595738166,1934.6266026938922,3573289
2020-06-08,1916.266357421875,1937.7714583317622,1907.3406746832557,1922.278536170876,2957841
2020-06-09,1916.543701171875,1938.2337449218621,1905.6292402649804,1908.2654394793285,2909439
2020-06-10,1950.489013671875,1971.994108902638,1917.8845144510412,1921.1681332950277,5168397
2020-06-11,1912.4739990234375,1947.0209939221363,1907.063173557266,1942.3962409674518,2269513
2020-06-12,1886.4364013671875,1895.408375371654,1860.0753141208208,1860.2602590431652,2842642
2020-06-15,1877.5570068359375,1904.473043292414,1850.7796226246276,1886.0665061105574,2399022
2020-06-16,1892.263671875,1918.3009366616636,1878.5743600796077,1910.0226753148154,2146528
2020-06-17,1894.113525390625,1904.3342727499953,1874.4583288602878,1892.4485694621073,2703527
2020-06-18,1885.1412353515625,1904.6576646329704,1873.2093535737808,1891.5234151777227,1944389
2020-06-19,1891.1536865234375,1933.14645995791,1879.4993333179298,1888.74883791103,5681758
2020-06-22,1875.753173828125,1898.229514374495,1867.6136778135003,1896.148375913127,3196138
2020-06-23,1882.552001953125,1890.5990270121267,1859.1507066019446,1874.8748668070357,4205944
2020-06-24,1888.9337158203125,1909.328917888077,1879.1292638812847,1881.3491674866652,2560937
2020-06-25,1864.79248046875,1905.397825645616,1858.4565928050747,1882.2740656256449,3043931
2020-06-26,1959.8310546875,1971.9940609369257,1868.3533335369468,1873.0243777660762,6300722
2020-06-29,1943.9219970703125,1967.9246415830753,1934.348895530878,1949.7955226769145,3076341
2020-06-30,1925.8856201171875,1953.4028978761005,1919.3186069663625,1942.3960770997337,3071725
2020-07-01,1935.0426025390625,1955.2989267366308,1923.4344294172147,1923.6193743406031,2503466
2020-07-02,1995.25634765625,2002.5172974684704,1940.5456305260282,1944.2454315375173,3758699
2020-07-03,2034.567138671875,2039.5157138376292,1998.124181776752,2001.2689229357504,4185208
2020-07-06,2093.347412109375,2099.5445337731685,2039.515351399294,2039.515351399294,5190366
2020-07-07,2099.544921875,2129.8833415926433,2064.628042624534,2104.2622594651684,5630055
2020-07-08,2052.372802734375,2103.707561202498,2041.9210415745592,2099.6378688763766,2793358
2020-07-09,2038.9150390625,2076.051717030579,2026.6131503540041,2061.7149820722475,3443998
2020-07-10,2055.56396484375,2081.000105212821,2012.6924161126765,2039.7472199597792,9610320
2020-07-13,2053.39013671875,2076.4676068304357,2044.1406315983952,2053.39013671875,2963503
2020-07-14,2008.9462890625,2070.964268207021,2002.517927944708,2044.140702428547,2976738
2020-07-15,2066.2470703125,2090.3883714784633,2017.4098589252947,2021.0170759647976,5569321
2020-07-16,2071.669677734375,2162.749908559927,2058.0888483497383,2080.244661298104,8582118
2020-07-17,2040.1512451171875,2080.1523024809435,2030.232118135025,2073.755917449573,4509135
